BPE: kand i | Linguist: kand i
BPE: kand i | Linguist: kand i
BPE: goli | Linguist: goli
BPE: idu | Linguist: idu
BPE: de | Linguist: de
BPE: goli | Linguist: goli
BPE: ʎɨn | Linguist: ʎɨn
BPE: ise | Linguist: ise
BPE: idu | Linguist: idu
BPE: ise | Linguist: ise
BPE: kand i | Linguist: kand i
BPE: idu | Linguist: idu
BPE: de | Linguist: de
BPE: de | Linguist: de
BPE: žu | Linguist: žu
BPE: žu | Linguist: žu
BPE: do n | Linguist: do n
BPE: di lʲ in | Linguist: di lʲ in
BPE: goli | Linguist: goli
BPE: goli | Linguist: goli
BPE: l eč un | Linguist: l eč un
BPE: iʎ o | Linguist: iʎ o
BPE: idu | Linguist: idu
BPE: ʎɨn | Linguist: ʎɨn
BPE: žu | Linguist: žu
BPE: y eč un | Linguist: y eč un
BPE: žu | Linguist: žu
BPE: goli | Linguist: goli
BPE: ise | Linguist: ise
BPE: idu | Linguist: idu
BPE: goli | Linguist: goli
BPE: goli | Linguist: goli
BPE: žu | Linguist: žu
BPE: y eq un | Linguist: y eq un
BPE: ʎɨn | Linguist: ʎɨn
BPE: do | Linguist: do
BPE: goli | Linguist: goli
BPE: žu | Linguist: žu
BPE: ʎɨn | Linguist: ʎɨn
BPE: is o | Linguist: is o
BPE: goli | Linguist: goli
BPE: idu | Linguist: idu
BPE: goli | Linguist: goli
BPE: goli | Linguist: goli
BPE: de | Linguist: de
BPE: ise | Linguist: ise
BPE: idu | Linguist: idu
BPE: l eq bi | Linguist: l eq bi
BPE: ʎɨn | Linguist: ʎɨn
BPE: idu | Linguist: idu
BPE: goli | Linguist: goli
BPE: ʎɨn | Linguist: ʎɨn
BPE: ise | Linguist: ise
BPE: idu | Linguist: idu
BPE: idu | Linguist: idu
BPE: do | Linguist: do
BPE: goli | Linguist: goli
BPE: iʎ o | Linguist: iʎ o
BPE: ʎɨn | Linguist: ʎɨn
BPE: goli | Linguist: goli
BPE: iʎ še | Linguist: iʎ še
BPE: iʎ o | Linguist: iʎ o
BPE: ʎɨn | Linguist: ʎɨn
BPE: žu | Linguist: žu
BPE: žu | Linguist: žu
BPE: žu | Linguist: žu
BPE: y eč a | Linguist: y eč a
BPE: goli | Linguist: goli
BPE: žu | Linguist: žu
BPE: žu | Linguist: žu
BPE: goli | Linguist: goli
BPE: žu | Linguist: žu
BPE: goli | Linguist: goli
BPE: idu | Linguist: idu
BPE: goli | Linguist: goli
BPE: kand i | Linguist: kand i
BPE: kand i | Linguist: kand i
BPE: ʎɨn | Linguist: ʎɨn
BPE: žu | Linguist: žu
BPE: goli | Linguist: goli
BPE: žu | Linguist: žu
BPE: di ʎ’o zi | Linguist: di ʎ’o zi
BPE: goli | Linguist: goli
BPE: žu | Linguist: žu
BPE: goli | Linguist: goli
BPE: ise | Linguist: ise
BPE: de | Linguist: de
BPE: žu | Linguist: žu
BPE: do | Linguist: do
BPE: goli | Linguist: goli
BPE: ise | Linguist: ise
BPE: do | Linguist: do
BPE: ʎɨn | Linguist: ʎɨn
BPE: žu | Linguist: žu
BPE: žu | Linguist: žu
BPE: goli | Linguist: goli
BPE: goli | Linguist: goli
BPE: idu | Linguist: idu
BPE: idu | Linguist: idu
BPE: ise | Linguist: ise
BPE: de | Linguist: de
BPE: ise | Linguist: ise
BPE: de | Linguist: de
BPE: idu | Linguist: idu
BPE: is i | Linguist: is i
BPE: ise | Linguist: ise
BPE: idu | Linguist: idu
BPE: ø eq un | Linguist: ø eq un
BPE: ʎɨn | Linguist: ʎɨn
BPE: iʎ aʎa | Linguist: iʎ aʎa
BPE: žu | Linguist: žu
BPE: ø eq un | Linguist: ø eq un
BPE: ise | Linguist: ise
BPE: ise | Linguist: ise
BPE: žu | Linguist: žu
BPE: žu | Linguist: žu
BPE: goli | Linguist: goli
BPE: žu | Linguist: žu
BPE: l eč bi | Linguist: l eč bi
BPE: ø ah un | Linguist: ø ah un
BPE: žu | Linguist: žu
BPE: idu | Linguist: idu
BPE: goli | Linguist: goli
BPE: de | Linguist: de
BPE: do n | Linguist: do n
BPE: ʎɨn | Linguist: ʎɨn
BPE: goli | Linguist: goli
BPE: goli | Linguist: goli
BPE: y ah a | Linguist: y ah a
BPE: y eč un | Linguist: y eč un
BPE: idu | Linguist: idu
BPE: žu | Linguist: žu
BPE: ise | Linguist: ise
BPE: y eč un | Linguist: y eč un
BPE: idu | Linguist: idu
BPE: do | Linguist: do
BPE: idu | Linguist: idu
BPE: goli | Linguist: goli
BPE: ʎɨn | Linguist: ʎɨn
BPE: idu | Linguist: idu
BPE: idu | Linguist: idu
BPE: idu | Linguist: idu
BPE: goli | Linguist: goli
BPE: l eč un | Linguist: l eč un
BPE: idu | Linguist: idu
BPE: ʎɨn | Linguist: ʎɨn
BPE: ʎɨn | Linguist: ʎɨn
BPE: goli | Linguist: goli
BPE: goli | Linguist: goli
BPE: žu | Linguist: žu
BPE: ʎɨn | Linguist: ʎɨn
BPE: ʎɨn | Linguist: ʎɨn
BPE: idu | Linguist: idu
BPE: ø eq un | Linguist: ø eq un
BPE: ise | Linguist: ise
BPE: ʎɨn | Linguist: ʎɨn
BPE: goli | Linguist: goli
BPE: de | Linguist: de
BPE: kand i | Linguist: kand i
BPE: ise | Linguist: ise
BPE: iʎ a | Linguist: iʎ a
BPE: iʎ a | Linguist: iʎ a
BPE: goli | Linguist: goli
BPE: goli | Linguist: goli
BPE: ise | Linguist: ise
BPE: ise | Linguist: ise
BPE: ise | Linguist: ise
BPE: ʎɨn | Linguist: ʎɨn
BPE: iʎ bi | Linguist: iʎ bi
BPE: l eč un ay ʎo | Linguist: l eč un ay ʎo
BPE: goli | Linguist: goli
BPE: kand i | Linguist: kand i
BPE: idu | Linguist: idu
BPE: idu | Linguist: idu
BPE: do | Linguist: do
BPE: do | Linguist: do
BPE: y eč un | Linguist: y eč un
BPE: ʎɨn | Linguist: ʎɨn
BPE: kand i | Linguist: kand i
BPE: de | Linguist: de
BPE: kand i | Linguist: kand i
BPE: idu | Linguist: idu
BPE: goli | Linguist: goli
BPE: do | Linguist: do
BPE: goli | Linguist: goli
BPE: do | Linguist: do
BPE: goli | Linguist: goli
BPE: ʎɨn | Linguist: ʎɨn
BPE: ise | Linguist: ise
BPE: iʎ i | Linguist: iʎ i
BPE: ʎɨn | Linguist: ʎɨn
BPE: de | Linguist: de
BPE: ʎɨn | Linguist: ʎɨn
BPE: ʎɨn | Linguist: ʎɨn
BPE: aq ba n | Linguist: aq ba n
BPE: ise | Linguist: ise
BPE: kand i | Linguist: kand i
BPE: ise | Linguist: ise
BPE: goli | Linguist: goli
BPE: de | Linguist: de
BPE: do | Linguist: do
BPE: goli | Linguist: goli
BPE: ʎɨn | Linguist: ʎɨn
BPE: do | Linguist: do
BPE: goli | Linguist: goli
BPE: ʎɨn | Linguist: ʎɨn
BPE: ise | Linguist: ise
BPE: žu | Linguist: žu
BPE: y eč un | Linguist: y eč un
BPE: kand i | Linguist: kand i
BPE: goli | Linguist: goli
BPE: do | Linguist: do
BPE: ise | Linguist: ise
BPE: žu | Linguist: žu
BPE: y eč ɨn | Linguist: y eč ɨn
BPE: kand i | Linguist: kand i
BPE: goli | Linguist: goli
BPE: žu | Linguist: žu
BPE: goli | Linguist: goli
BPE: žu | Linguist: žu
BPE: ʎɨn | Linguist: ʎɨn
BPE: goli | Linguist: goli
BPE: žu | Linguist: žu
BPE: ise | Linguist: ise
BPE: ise | Linguist: ise
BPE: y eč un | Linguist: y eč un
BPE: l eč un | Linguist: l eč un
